order_id,order_dum,order_type,item,qty,facing,due_date,station,pod_id,status,finish_time,date,time_gen
0,0,1,33,6,-1,99999,-1,-1,-3,-1,1,60
1,0,1,3088,2,-1,99999,-1,-1,-3,-1,1,60
2,0,1,27,7,-1,99999,-1,-1,-3,-1,1,60
3,0,1,2650,2,-1,99999,-1,-1,-3,-1,1,60
4,0,1,276,4,-1,99999,-1,-1,-3,-1,1,60
5,1,1,820,11,-1,99999,-1,-1,-3,-1,1,60
6,2,1,133,3,-1,99999,-1,-1,-3,-1,1,60
7,2,1,2030,2,-1,99999,-1,-1,-3,-1,1,60
8,3,1,878,3,-1,99999,-1,-1,-3,-1,1,60
9,3,1,594,5,-1,99999,-1,-1,-3,-1,1,60
10,4,1,751,8,-1,99999,-1,-1,-3,-1,1,120
11,5,1,143,6,-1,99999,-1,-1,-3,-1,1,120
12,5,1,2330,4,-1,99999,-1,-1,-3,-1,1,120
13,6,1,1312,8,-1,99999,-1,-1,-3,-1,1,120
14,7,1,467,5,-1,99999,-1,-1,-3,-1,1,120
15,7,1,5,4,-1,99999,-1,-1,-3,-1,1,120
16,7,1,56,8,-1,99999,-1,-1,-3,-1,1,120
17,7,1,1593,4,-1,99999,-1,-1,-3,-1,1,120
18,7,1,353,8,-1,99999,-1,-1,-3,-1,1,120
19,7,1,35,7,-1,99999,-1,-1,-3,-1,1,120
20,8,1,738,8,-1,99999,-1,-1,-3,-1,1,120
21,8,1,78,6,-1,99999,-1,-1,-3,-1,1,120
22,8,1,2052,3,-1,99999,-1,-1,-3,-1,1,120
23,8,1,135,4,-1,99999,-1,-1,-3,-1,1,120
24,8,1,13,6,-1,99999,-1,-1,-3,-1,1,120
25,9,1,3025,4,-1,99999,-1,-1,-3,-1,1,180
26,10,1,2403,3,-1,99999,-1,-1,-3,-1,1,180
27,10,1,623,5,-1,99999,-1,-1,-3,-1,1,180
28,10,1,153,4,-1,99999,-1,-1,-3,-1,1,180
29,10,1,752,8,-1,99999,-1,-1,-3,-1,1,180
30,11,1,861,2,-1,99999,-1,-1,-3,-1,1,240
31,11,1,37,10,-1,99999,-1,-1,-3,-1,1,240
32,11,1,1994,3,-1,99999,-1,-1,-3,-1,1,240
33,11,1,656,8,-1,99999,-1,-1,-3,-1,1,240
34,11,1,1721,3,-1,99999,-1,-1,-3,-1,1,240
35,11,1,137,7,-1,99999,-1,-1,-3,-1,1,240
36,12,1,324,4,-1,99999,-1,-1,-3,-1,1,240
37,12,1,1350,10,-1,99999,-1,-1,-3,-1,1,240
38,12,1,32,6,-1,99999,-1,-1,-3,-1,1,240
39,12,1,1844,2,-1,99999,-1,-1,-3,-1,1,240
40,12,1,317,6,-1,99999,-1,-1,-3,-1,1,240
41,13,1,40,6,-1,99999,-1,-1,-3,-1,1,240
42,13,1,36,4,-1,99999,-1,-1,-3,-1,1,240
43,14,1,36,11,-1,99999,-1,-1,-3,-1,1,240
44,14,1,69,4,-1,99999,-1,-1,-3,-1,1,240
45,14,1,76,4,-1,99999,-1,-1,-3,-1,1,240
46,15,1,315,11,-1,99999,-1,-1,-3,-1,1,300
47,16,1,2345,4,-1,99999,-1,-1,-3,-1,1,300
48,16,1,174,4,-1,99999,-1,-1,-3,-1,1,300
49,17,1,84,8,-1,99999,-1,-1,-3,-1,1,360
50,17,1,23,2,-1,99999,-1,-1,-3,-1,1,360
51,17,1,1399,7,-1,99999,-1,-1,-3,-1,1,360
52,17,1,344,2,-1,99999,-1,-1,-3,-1,1,360
53,17,1,53,8,-1,99999,-1,-1,-3,-1,1,360
54,18,1,1745,4,-1,99999,-1,-1,-3,-1,1,360
55,19,1,594,6,-1,99999,-1,-1,-3,-1,1,360
56,19,1,29,4,-1,99999,-1,-1,-3,-1,1,360
57,20,1,109,5,-1,99999,-1,-1,-3,-1,1,420
58,21,1,493,2,-1,99999,-1,-1,-3,-1,1,420
59,21,1,1292,4,-1,99999,-1,-1,-3,-1,1,420
60,21,1,2330,4,-1,99999,-1,-1,-3,-1,1,420
61,21,1,843,12,-1,99999,-1,-1,-3,-1,1,420
62,21,1,158,3,-1,99999,-1,-1,-3,-1,1,420
63,22,1,10,8,-1,99999,-1,-1,-3,-1,1,420
64,22,1,61,10,-1,99999,-1,-1,-3,-1,1,420
65,23,1,406,8,-1,99999,-1,-1,-3,-1,1,480
66,24,1,832,7,-1,99999,-1,-1,-3,-1,1,480
67,24,1,526,4,-1,99999,-1,-1,-3,-1,1,480
68,25,1,2341,2,-1,99999,-1,-1,-3,-1,1,480
69,26,1,65,8,-1,99999,-1,-1,-3,-1,1,480
70,27,1,151,6,-1,99999,-1,-1,-3,-1,1,480
71,27,1,600,9,-1,99999,-1,-1,-3,-1,1,480
72,27,1,12,5,-1,99999,-1,-1,-3,-1,1,480
73,27,1,1085,8,-1,99999,-1,-1,-3,-1,1,480
74,27,1,2916,4,-1,99999,-1,-1,-3,-1,1,480
75,27,1,14,7,-1,99999,-1,-1,-3,-1,1,480
76,28,1,106,12,-1,99999,-1,-1,-3,-1,1,540
77,28,1,2897,2,-1,99999,-1,-1,-3,-1,1,540
78,28,1,208,6,-1,99999,-1,-1,-3,-1,1,540
79,29,1,412,7,-1,99999,-1,-1,-3,-1,1,600
80,29,1,1395,4,-1,99999,-1,-1,-3,-1,1,600
81,30,1,318,7,-1,99999,-1,-1,-3,-1,1,600
82,30,1,142,6,-1,99999,-1,-1,-3,-1,1,600
83,31,1,296,10,-1,99999,-1,-1,-3,-1,1,600
84,31,1,2164,4,-1,99999,-1,-1,-3,-1,1,600
85,32,1,173,12,-1,99999,-1,-1,-3,-1,1,600
86,32,1,452,10,-1,99999,-1,-1,-3,-1,1,600
87,33,1,88,8,-1,99999,-1,-1,-3,-1,1,600
88,34,1,61,6,-1,99999,-1,-1,-3,-1,1,600
89,34,1,1962,1,-1,99999,-1,-1,-3,-1,1,600
90,35,1,427,6,-1,99999,-1,-1,-3,-1,1,600
91,35,1,23,6,-1,99999,-1,-1,-3,-1,1,600
92,36,1,2,6,-1,99999,-1,-1,-3,-1,1,660
93,37,1,1735,2,-1,99999,-1,-1,-3,-1,1,660
94,38,1,453,2,-1,99999,-1,-1,-3,-1,1,660
95,38,1,82,3,-1,99999,-1,-1,-3,-1,1,660
96,38,1,1323,2,-1,99999,-1,-1,-3,-1,1,660
97,38,1,0,5,-1,99999,-1,-1,-3,-1,1,660
98,38,1,713,10,-1,99999,-1,-1,-3,-1,1,660
99,38,1,25,8,-1,99999,-1,-1,-3,-1,1,660
100,39,1,183,3,-1,99999,-1,-1,-3,-1,1,720
101,39,1,286,4,-1,99999,-1,-1,-3,-1,1,720
102,39,1,792,4,-1,99999,-1,-1,-3,-1,1,720
103,39,1,231,5,-1,99999,-1,-1,-3,-1,1,720
104,40,1,277,2,-1,99999,-1,-1,-3,-1,1,720
105,41,1,125,6,-1,99999,-1,-1,-3,-1,1,720
106,41,1,214,10,-1,99999,-1,-1,-3,-1,1,720
107,41,1,846,8,-1,99999,-1,-1,-3,-1,1,720
108,41,1,2404,3,-1,99999,-1,-1,-3,-1,1,720
109,41,1,126,1,-1,99999,-1,-1,-3,-1,1,720
110,41,1,1050,8,-1,99999,-1,-1,-3,-1,1,720
111,42,1,644,12,-1,99999,-1,-1,-3,-1,1,780
112,43,1,162,11,-1,99999,-1,-1,-3,-1,1,780
113,43,1,75,8,-1,99999,-1,-1,-3,-1,1,780
114,43,1,314,4,-1,99999,-1,-1,-3,-1,1,780
