order_id,order_arrival,process_start_time,order_complete_time,station_id,cycle_time,oct
-8,0,1,66,picker-2,65,66
-7,0,1,129,picker-3,128,129
-3,0,1,129,picker-3,128,129
-88,0,1,139,picker-1,138,139
-26,0,1,140,picker-2,139,140
-86,0,1,151,picker-3,150,151
-100,0,1,155,picker-2,154,155
-63,0,1,199,picker-2,198,199
-21,0,2,206,picker-3,204,206
-94,0,1,210,picker-1,209,210
-84,0,1,210,picker-1,209,210
-90,0,1,217,picker-1,216,217
-98,0,1,251,picker-2,250,251
-68,0,67,261,picker-2,194,261
-76,0,1,264,picker-1,263,264
-33,0,1,271,picker-2,270,271
-92,0,2,295,picker-3,293,295
-96,0,1,305,picker-1,304,305
-22,0,1,305,picker-2,304,305
-4,0,2,330,picker-3,328,330
-45,0,141,335,picker-2,194,335
-36,0,2,340,picker-3,338,340
-40,0,130,350,picker-3,220,350
-75,0,140,350,picker-1,210,350
-10,0,156,352,picker-2,196,352
-78,0,1,355,picker-1,354,355
-99,0,1,359,picker-1,358,359
-55,0,1,362,picker-2,361,362
-32,0,130,364,picker-3,234,364
-69,0,207,371,picker-3,164,371
-93,0,152,402,picker-3,250,402
7,240,252,406,picker-2,154,166
-17,0,218,407,picker-1,189,407
-97,0,2,438,picker-3,436,438
5,180,296,444,picker-3,148,264
-58,0,262,449,picker-2,187,449
1,60,265,452,picker-1,187,392
-70,0,272,478,picker-2,206,478
-37,0,336,483,picker-2,147,483
12,300,306,488,picker-1,182,188
-91,0,341,493,picker-3,152,493
-34,0,353,500,picker-2,147,500
-65,0,307,512,picker-2,205,512
2,120,351,521,picker-1,170,401
-6,0,211,529,picker-1,318,529
-5,0,363,538,picker-2,175,538
-15,0,352,547,picker-3,195,547
-25,0,200,572,picker-2,372,572
-24,0,356,593,picker-1,237,593
-83,0,211,605,picker-1,394,605
-27,0,331,651,picker-3,320,651
-73,0,360,680,picker-1,320,680
20,480,484,685,picker-2,201,205
-39,0,479,689,picker-2,210,689
15,360,594,808,picker-1,214,448
30,600,606,856,picker-1,250,256
-61,0,494,890,picker-3,396,890
16,360,439,897,picker-3,458,537
-35,0,407,902,picker-2,495,902
-41,0,686,913,picker-2,227,913
-67,0,453,926,picker-1,473,926
3,120,530,951,picker-1,421,831
-46,0,548,951,picker-3,403,951
-62,0,403,956,picker-3,553,956
13,360,809,1002,picker-1,193,642
-9,0,408,1006,picker-1,598,1006
22,480,681,1015,picker-1,334,535
21,480,652,1018,picker-3,366,538
-79,0,489,1020,picker-1,531,1020
-30,0,372,1032,picker-3,660,1032
-80,0,450,1051,picker-2,601,1051
38,720,903,1076,picker-2,173,356
